SA2_code,SA2_name,income_earners,median_income,mean_income,gini_coefficient
101021007,Braidwood,2780,48324,61492,0.532
101021008,Karabar,5636,64108,69873,0.391
101021009,Queanbeyan,7931,63405,68857,0.385
101021010,Queanbeyan - East,3737,66506,76028,0.404
101021012,Queanbeyan West - Jerrabomberra,9213,79073,92876,0.435
101021610,Googong,4176,91228,96908,0.345
101021611,Queanbeyan Surrounds,11778,73793,87773,0.455
101031013,Bombala,1532,49401,60143,0.504
101031014,Cooma,4227,52862,63238,0.456
101031015,Cooma Surrounds,2292,49902,60467,0.524
101031016,Jindabyne - Berridale,5673,44742,58992,0.509
101041017,Batemans Bay,4819,39449,46574,0.484
101041018,Batemans Bay - South,5311,41303,52622,0.514
101041019,Bega - Tathra,5583,46830,55319,0.486
101041020,Bega-Eden Hinterland,6094,39580,47742,0.518
101041021,Broulee - Tomakin,2431,46273,62641,0.538
101041022,Deua - Wadbilliga,15,34720,39161,
101041023,Eden,2007,40080,48620,0.478
101041024,Eurobodalla Hinterland,2302,38202,48049,0.516
101041025,Merimbula - Tura Beach,7389,43840,55452,0.503
101041026,Moruya - Tuross Head,5085,41251,49937,0.496
101041027,Narooma - Bermagui,5688,34759,46871,0.548
101051539,Goulburn,14501,54173,62709,0.447
101051540,Goulburn Surrounds,8533,49300,61766,0.521
101061541,Yass,4365,58189,66046,0.44
101061542,Yass Surrounds,8895,65732,85174,0.511
101061543,Young,6505,46857,56254,0.493
101061544,Young Surrounds,4447,47886,59492,0.542
102011028,Avoca Beach - Copacabana,5274,52020,78359,0.55
102011029,Box Head - MacMasters Beach,7070,50978,73840,0.544
102011030,Calga - Kulnura,3362,46926,66224,0.556
102011031,Erina - Green Point,8770,48821,73166,0.555
102011032,Gosford - Springfield,13759,53117,64578,0.472
102011033,Kariong,4231,55665,64322,0.43
102011034,Kincumber - Picketts Valley,4369,47568,62575,0.503
102011035,Narara,4603,54407,64091,0.454
102011036,Niagara Park - Lisarow,5342,53602,65236,0.466
102011037,Point Clare - Koolewong,4077,53244,69903,0.509
102011038,Saratoga - Davistown,4681,51175,65995,0.492
102011039,Terrigal - North Avoca,10072,56126,83209,0.546
102011040,Umina - Booker Bay - Patonga,14189,47634,66847,0.54
102011041,Wamberal - Forresters Beach,7262,53650,77861,0.535
102011042,Woy Woy - Blackwall,8143,48854,60294,0.484
102011043,Wyoming,6611,51223,58360,0.445
102021044,Bateau Bay - Killarney Vale,13156,50661,60074,0.459
102021045,Blue Haven - San Remo,6443,49424,53363,0.407
102021046,Budgewoi - Buff Point - Halekulani,5381,48240,55862,0.445
102021047,Chittaway Bay - Tumbi Umbi,10229,51644,63727,0.474
102021048,Gorokan - Kanwal - Charmhaven,12018,47564,52874,0.437
102021049,Jilliby - Yarramalong,2400,54176,73995,0.519
102021050,Lake Munmorah - Mannering Park,5620,47145,55060,0.458
102021051,Ourimbah - Fountaindale,3356,53408,67185,0.488
102021052,Summerland Point - Gwandalan,3813,50209,57127,0.447
102021053,The Entrance,10217,48986,59476,0.475
102021054,Toukley - Norah Head,5318,47326,58410,0.473
102021055,Tuggerah - Kangy Angy,3456,50527,60853,0.466
102021056,Warnervale - Wadalba,12034,55136,64315,0.437
102021057,Wyong,5082,46912,54162,0.457
103011059,Bathurst - East,7741,55556,63745,0.453
103011060,Bathurst Surrounds,4662,51747,61765,0.514
103011061,Oberon,2921,50490,57076,0.481
