Postcode,SA2_code,SA2_name
2000,117031645,Sydney (South) - Haymarket
2007,117031646,Ultimo
2008,117031639,Chippendale
2009,117031641,Pyrmont
2010,117031336,Surry Hills
2011,117031644,Sydney (North) - Millers Point
2015,117031643,Rosebery - Beaconsfield
2016,117031642,Redfern
2017,117031648,Zetland
2018,117031643,Rosebery - Beaconsfield
2019,117011321,Botany
2020,117011635,Mascot
2021,118011650,Double Bay - Darling Point
2022,118011341,Bondi Junction - Waverly
2023,118011649,Bellevue Hill
2024,118011341,Bondi Junction - Waverly
2025,118011347,Woollahra
2026,118011344,Dover Heights
2027,118011650,Double Bay - Darling Point
2028,118011650,Double Bay - Darling Point
2029,118011649,Bellevue Hill
2030,118011346,Rose Bay - Vaucluse - Watsons Bay
2031,118021651,Coogee - Clovelly
2032,118021565,Kingsford
2033,118021565,Kingsford
2034,118021654,South Coogee
2035,118021568,Maroubra - West
2036,118021653,Matraville - Chifley
2037,117031331,Glebe - Forest Lodge
2038,120021674,Annandale (NSW)
2039,120021389,Lilyfield - Rozelle
2040,120021675,Leichhardt
2041,120021387,Balmain
2042,117031640,Newtown (NSW)
2043,117031330,Erskineville - Alexandria
2044,117021328,Sydenham - Tempe - St Peters
2045,120031395,Haberfield - Summer Hill
2046,120011386,Five Dock - Abbotsford
2047,120011385,Drummoyne - Rodd Point
2048,117021327,Petersham - Stanmore
2049,120031394,Dulwich Hill - Lewisham
2050,117031638,Camperdown - Darlington
2060,121041417,North Sydney - Lavender Bay
2061,121041417,North Sydney - Lavender Bay
2062,121041414,Crows Nest - Waverton
2063,121011683,Castle Cove - Northbridge
2064,121011682,Artarmon
2065,121041414,Crows Nest - Waverton
2066,121011686,Lane Cove
2067,121011687,Willoughby
2068,121011687,Willoughby
2069,121031408,Lindfield - Roseville
2070,121031408,Lindfield - Roseville
2071,121031408,Lindfield - Roseville
2072,121031407,Gordon - Killara
2073,121031409,Pymble
2074,121031412,Wahroonga (East) - Warrawee
2075,121031410,St Ives
2076,121031412,Wahroonga (East) - Warrawee
2077,121021579,Wahroonga (West) - Waitara
2079,121021403,Asquith - Mount Colah
2080,121021404,Berowra - Brooklyn - Cowan
2081,121021404,Berowra - Brooklyn - Cowan
2082,121021404,Berowra - Brooklyn - Cowan
2083,121021404,Berowra - Brooklyn - Cowan
2084,122031432,Terrey Hills - Duffys Forest
2085,122031696,Frenchs Forest - Oxford Falls
2086,122031696,Frenchs Forest - Oxford Falls
